Serial Number,Comment
657,C
658,C
659,C
660,C
661,C
662,C
663,C
664,C
665,C
666,C
667,C
668,C
669,C
670,C
671,C
672,C
673,C
674,C
675,C
676,C
677,C
678,C
679,C
680,C
681,C
682,C
683,C
684,C
685,"Thanks, this is helpful.  However, the hand drawing animation is largely unnecessary and annoying."
686,B
687,Fault Tolerance
688,B
689,C
690,Fault tolerance
691,"The answer is 

e) ALL of the above."
692,answer {A}
693,c- fault Tolerance
694,Who else mistook the title as 'Hardpoop'? :3
695,C
696,C
697,C
698,👍🏻
699,"ans to quiz: 
all the options"
700,c
701,"The answer of your question is Fault Tolerance!, Correct me if i am wrong"
702,Ensure fault tolerence
703,C - Fault Tolerance
704,Tha answer is C
705,c
706,my one semester in 6 minute
707,c
708,Answer your question is 3
709,c
710,c
711,c
712,c
713,c
714,c
715,c
716,c
717,c
718,c
719,c
720,c
721,C
722,C
723,Who is this video for? People who want to use hadoop but don't know what Big Data means?
724,C
725,C
726,C
727,C
728,C
729,C
730,C
731,C
732,C !!!!
733,Fault Tolerance
734,"I worked at Cloudera for a decade, they certainly never figured out what Hadoop was 🤡"
735,Fault Tolerance
736,HADOUKEN.
737,C
738,C
739,c
740,Manages cluster resources
741,To Ensure Tolerance
742,C)
743,ENSURE FAULT TOLERANCE ..
744,a
745,Faster data analysis
746,C
747,C
748,C
749,C fault tolerant
750,C
751,FAULT TOLLERANCE
752,C
753,c
754,C
755,all 4 options  are advantages of HDFS
756,c
757,c
758,Why !! Arent all the answers true
759,"The answer is ‘C’ 
I know I am late lol"
760,c
761,c
762,i thought hadoop is dead
763,"a,c,d"
764,"If X is made up of Y and Z, you DO NOT say ""X comprises Y and Z."" You say, ""X is comprised of Y and Z."" Screw-ups like this is how I can't tell your content is primarily marketing babble."
765,Fault tolerent
766,fault tolerant
767,fault tolerant
768,B faster data analysis
769,日本語でください
770,C lol
771,Fault tolerant
772,dead
773,"lots of words ... very litle sense
Video on blockchain was far better"
