serial number,comment,demojized_comment,cleaned_comment,lemmatized_tokens,sentiment_vader,sentiment_textblob,sentiment_transformer,transformer_score,keywords_rake,keywords_yake,keywords_tfidf
98,Nice content in 06 minutes. Well explained. Thank you!!,Nice content in 06 minutes. Well explained. Thank you!!,nice content in minutes well explained thank you,"['nice', 'content', 'minute', 'well', 'explain', 'thank']",Positive,Positive,POSITIVE,0.999843955039978,"['minutes well explained thank', 'nice content']","['nice', 'content', 'minutes', 'explained']","['minutes', 'content', 'nice', 'explained', 'thank']"
99,It is one of the most valuable explanation. Just Amazing.,It is one of the most valuable explanation. Just Amazing.,it is one of the most valuable explanation just amazing,"['one', 'valuable', 'explanation', 'amazing']",Positive,Positive,POSITIVE,0.9998432397842408,"['valuable explanation', 'one', 'amazing']","['amazing', 'valuable', 'explanation']","['just', 'amazing', 'explanation']"
100,"amazing content, you guys are the best!!!!!","amazing content, you guys are the best!!!!!",amazing content you guys are the best,"['amazing', 'content', 'guy', 'well']",Positive,Positive,POSITIVE,0.999880313873291,"['amazing content', 'guys', 'best']","['amazing', 'content', 'guys']","['content', 'best', 'amazing']"
101,Thank you. Well explained.,Thank you. Well explained.,thank you well explained,"['thank', 'well', 'explain']",Positive,Neutral,POSITIVE,0.9998571872711182,"['well explained', 'thank']",['explained'],"['explained', 'thank']"
102,Productive 6 Mins 🙌,Productive 6 Mins  raising_hands ,productive mins raising_hands,"['productive', 'min', 'raising_hand']",Neutral,Neutral,POSITIVE,0.99846088886261,['productive mins raising_hands'],"['hands', 'productive', 'raising', 'mins']","['productive', 'mins']"
103,Brilliant work! Thank you.,Brilliant work! Thank you.,brilliant work thank you,"['brilliant', 'work', 'thank']",Positive,Positive,POSITIVE,0.9998663663864136,['brilliant work thank'],"['brilliant', 'work']","['work', 'thank']"
104,"Awesome videoooo...! 
Ans: C. Fault tolerance","Awesome videoooo...! 
Ans: C. Fault tolerance",awesome videoooo ans: c fault tolerance,"['awesome', 'videoooo', 'ans', ':', 'c', 'fault', 'tolerance']",Positive,Positive,POSITIVE,0.9913997650146484,"['c fault tolerance', 'awesome videoooo ans']","['awesome', 'ans', 'tolerance', 'videoooo', 'fault']","['awesome', 'ans', 'tolerance', 'fault']"
105,Thanks u so much for such a simple and amazing video to understand the concept.👏👏👏👏👏,Thanks u so much for such a simple and amazing video to understand the concept. clapping_hands  clapping_hands  clapping_hands  clapping_hands  clapping_hands ,thanks u so much for such a simple and amazing video to understand the concept clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands,"['thank', 'u', 'much', 'simple', 'amazing', 'video', 'understand', 'concept', 'clapping_hand', 'clapping_hands', 'clapping_hand', 'clapping_hand', 'clapping_hand']",Positive,Positive,POSITIVE,0.999793827533722,"['concept clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands', 'thanks u', 'amazing video', 'understand', 'simple', 'much']","['hands', 'clapping', 'simple', 'amazing', 'video', 'understand', 'concept']","['clapping_hands', 'concept', 'understand', 'amazing', 'thanks', 'video']"
106,so easy explained ty guys,so easy explained ty guys,so easy explained ty guys,"['easy', 'explain', 'ty', 'guy']",Positive,Positive,POSITIVE,0.9571841955184937,['easy explained ty guys'],"['guys', 'easy', 'explained']","['easy', 'explained']"
107,"Great video, is a good resume of this technology, and the answer is C) Ensure fault tolerance","Great video, is a good resume of this technology, and the answer is C) Ensure fault tolerance",great video is a good resume of this technology and the answer is c ensure fault tolerance,"['great', 'video', 'good', 'resume', 'technology', 'answer', 'c', 'ensure', 'fault', 'tolerance']",Positive,Positive,POSITIVE,0.9979068040847778,"['c ensure fault tolerance', 'great video', 'good resume', 'technology', 'answer']","['great', 'tolerance', 'video', 'good', 'resume', 'technology', 'answer', 'ensure', 'fault']","['good', 'great', 'video', 'ensure', 'answer', 'tolerance', 'fault']"
108,Awesome explanation...thank you !!,Awesome explanation...thank you !!,awesome explanationthank you,"['awesome', 'explanationthank']",Positive,Positive,POSITIVE,0.9997171759605408,['awesome explanationthank'],"['awesome', 'explanationthank']",['awesome']
109,Thanks For making this amazing and helpful video.!🙂,Thanks For making this amazing and helpful video.! slightly_smiling_face ,thanks for making this amazing and helpful video slightly_smiling_face,"['thank', 'make', 'amazing', 'helpful', 'video', 'slightly_smiling_face']",Positive,Positive,POSITIVE,0.9998319149017334,"['helpful video slightly_smiling_face', 'thanks', 'making', 'amazing']","['smiling', 'face', 'slightly', 'making', 'amazing', 'helpful', 'video']","['helpful', 'amazing', 'thanks', 'video']"
110,Nice explanation. Thank You,Nice explanation. Thank You,nice explanation thank you,"['nice', 'explanation', 'thank']",Positive,Positive,POSITIVE,0.9998459815979004,['nice explanation thank'],"['nice', 'explanation']","['nice', 'explanation', 'thank']"
111,"thanks a lot for the explanation, through this video i just understand what the big data is and hadoop is! It's so amazing.","thanks a lot for the explanation, through this video i just understand what the big data is and hadoop is! It's so amazing.",thanks a lot for the explanation through this video i just understand what the big data is and hadoop is its so amazing,"['thank', 'lot', 'explanation', 'video', 'understand', 'big', 'data', 'hadoop', 'amazing']",Positive,Positive,POSITIVE,0.9992806315422058,"['big data', 'video', 'understand', 'thanks', 'lot', 'hadoop', 'explanation', 'amazing']","['amazing', 'lot', 'explanation', 'video', 'understand', 'big', 'data', 'hadoop']","['big', 'just', 'understand', 'lot', 'amazing', 'data', 'hadoop', 'explanation', 'thanks', 'video']"
112,Excellent! Thank you so much.,Excellent! Thank you so much.,excellent thank you so much,"['excellent', 'thank', 'much']",Positive,Positive,POSITIVE,0.9998632669448853,"['excellent thank', 'much']",['excellent'],"['excellent', 'thank']"
113,nice presentation easy to understand,nice presentation easy to understand,nice presentation easy to understand,"['nice', 'presentation', 'easy', 'understand']",Positive,Positive,POSITIVE,0.9998650550842284,"['nice presentation easy', 'understand']","['nice', 'understand', 'presentation', 'easy']","['easy', 'nice', 'understand']"
114,amazing explanation of the Hadoop concepts.,amazing explanation of the Hadoop concepts.,amazing explanation of the hadoop concepts,"['amazing', 'explanation', 'hadoop', 'concept']",Positive,Positive,POSITIVE,0.9997560381889344,"['hadoop concepts', 'amazing explanation']","['amazing', 'concepts', 'explanation', 'hadoop']","['concepts', 'amazing', 'hadoop', 'explanation']"
115,C:) Fault tolerance is the answer.  Thank you tons for the very awesome and informative video on Hadoop!,C:) Fault tolerance is the answer.  Thank you tons for the very awesome and informative video on Hadoop!,c: fault tolerance is the answer thank you tons for the very awesome and informative video on hadoop,"['c', ':', 'fault', 'tolerance', 'answer', 'thank', 'ton', 'awesome', 'informative', 'video', 'hadoop']",Positive,Positive,POSITIVE,0.9992276430130004,"['informative video', 'fault tolerance', 'answer thank', 'tons', 'hadoop', 'c', 'awesome']","['fault', 'hadoop', 'tolerance', 'answer', 'tons', 'awesome', 'informative', 'video']","['informative', 'awesome', 'hadoop', 'thank', 'video', 'answer', 'tolerance', 'fault']"
116,Answer is C! Data is available on other nodes even if other nodes are down or crashed,Answer is C! Data is available on other nodes even if other nodes are down or crashed,answer is c data is available on other nodes even if other nodes are down or crashed,"['answer', 'c', 'datum', 'available', 'node', 'even', 'node', 'crash']",Neutral,Negative,NEGATIVE,0.986912965774536,"['c data', 'nodes even', 'nodes', 'crashed', 'available', 'answer']","['nodes', 'answer', 'crashed', 'data']","['nodes', 'data', 'answer']"
117,The answer is option C and very good explanation sir thank you,The answer is option C and very good explanation sir thank you,the answer is option c and very good explanation sir thank you,"['answer', 'option', 'c', 'good', 'explanation', 'sir', 'thank']",Positive,Positive,POSITIVE,0.9998238682746888,"['good explanation sir thank', 'option c', 'answer']","['answer', 'option', 'good', 'explanation', 'sir']","['good', 'explanation', 'thank', 'option', 'answer']"
118,"Very well explained video 💯
Answer of Advantage of 3x replication Schema in HDFS is Option C that is ensure Fault Tolerance.","Very well explained video  hundred_points 
Answer of Advantage of 3x replication Schema in HDFS is Option C that is ensure Fault Tolerance.",very well explained video hundred_points answer of advantage of x replication schema in hdfs is option c that is ensure fault tolerance,"['well', 'explain', 'video', 'hundred_point', 'answer', 'advantage', 'x', 'replication', 'schema', 'hdfs', 'option', 'c', 'ensure', 'fault', 'tolerance']",Positive,Positive,NEGATIVE,0.9835813045501708,"['well explained video hundred_points answer', 'x replication schema', 'ensure fault tolerance', 'option c', 'hdfs', 'advantage']","['hundred', 'points', 'tolerance', 'explained', 'video', 'answer', 'advantage', 'replication', 'schema', 'hdfs']","['explained', 'advantage', 'schema', 'hdfs', 'replication', 'video', 'option', 'ensure', 'answer', 'tolerance']"
119,"thanks for the informative video. in a short video, it explains most of the hadoop components.","thanks for the informative video. in a short video, it explains most of the hadoop components.",thanks for the informative video in a short video it explains most of the hadoop components,"['thank', 'informative', 'video', 'short', 'video', 'explain', 'hadoop', 'component']",Positive,Positive,POSITIVE,0.9951441287994384,"['short video', 'informative video', 'hadoop components', 'thanks', 'explains']","['components', 'video', 'informative', 'short', 'explains', 'hadoop']","['video', 'informative', 'hadoop', 'thanks']"
120,Thank you so much 🥰,Thank you so much  smiling_face_with_hearts ,thank you so much smiling_face_with_hearts,"['thank', 'much', 'smiling_face_with_heart']",Positive,Positive,POSITIVE,0.9998635053634644,"['much smiling_face_with_hearts', 'thank']","['face', 'hearts', 'smiling']",['thank']
121,"Crisp and short video....upto the point🔥
Answer is (C). Ensures fault tolerance","Crisp and short video....upto the point fire 
Answer is (C). Ensures fault tolerance",crisp and short videoupto the point fire answer is c ensures fault tolerance,"['crisp', 'short', 'videoupto', 'point', 'fire', 'answer', 'c', 'ensure', 'fault', 'tolerance']",Negative,Positive,NEGATIVE,0.7381720542907715,"['c ensures fault tolerance', 'point fire answer', 'short videoupto', 'crisp']","['crisp', 'tolerance', 'short', 'videoupto', 'point', 'fire', 'answer', 'ensures', 'fault']","['ensures', 'answer', 'tolerance', 'fault']"
122,The advantage of the 3x replication schema in HDFS ---> Option C - Ensure fault tolerance.,The advantage of the 3x replication schema in HDFS ---> Option C - Ensure fault tolerance.,the advantage of the x replication schema in hdfs option c ensure fault tolerance,"['advantage', 'x', 'replication', 'schema', 'hdfs', 'option', 'c', 'ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.5898680686950684,"['hdfs option c ensure fault tolerance', 'x replication schema', 'advantage']","['tolerance', 'advantage', 'replication', 'schema', 'hdfs', 'option', 'ensure', 'fault']","['advantage', 'schema', 'hdfs', 'replication', 'option', 'ensure', 'tolerance', 'fault']"
123,"THE ANSWER IS C. HDFS IS FAULT-TOLERANCE, IF THE DATANODES CRASHES BECUASE ITS REPLICATICATED IN 3 REPLICATION SCHEMA IN HDFS. No data will be loss, great video.","THE ANSWER IS C. HDFS IS FAULT-TOLERANCE, IF THE DATANODES CRASHES BECUASE ITS REPLICATICATED IN 3 REPLICATION SCHEMA IN HDFS. No data will be loss, great video.",the answer is c hdfs is faulttolerance if the datanodes crashes becuase its replicaticated in replication schema in hdfs no data will be loss great video,"['answer', 'c', 'hdfs', 'faulttolerance', 'datanode', 'crash', 'becuase', 'replicaticate', 'replication', 'schema', 'hdfs', 'datum', 'loss', 'great', 'video']",Positive,Positive,NEGATIVE,0.9979684948921204,"['loss great video', 'datanodes crashes becuase', 'replication schema', 'c hdfs', 'hdfs', 'replicaticated', 'faulttolerance', 'data', 'answer']","['video', 'hdfs', 'answer', 'faulttolerance', 'datanodes', 'crashes', 'becuase', 'replicaticated', 'replication', 'schema']","['hdfs', 'crashes', 'schema', 'great', 'replication', 'data', 'video', 'answer']"
124,Totally clear!,Totally clear!,totally clear,"['totally', 'clear']",Positive,Positive,POSITIVE,0.9998470544815063,['totally clear'],"['totally', 'clear']",['clear']
125,Thanks for excellent content,Thanks for excellent content,thanks for excellent content,"['thank', 'excellent', 'content']",Positive,Positive,POSITIVE,0.9998617172241212,"['excellent content', 'thanks']","['content', 'excellent']","['excellent', 'content', 'thanks']"
126,"Big thank to you.
Amazing video","Big thank to you.
Amazing video",big thank to you amazing video,"['big', 'thank', 'amazing', 'video']",Positive,Positive,POSITIVE,0.9998749494552612,"['big thank', 'amazing video']","['big', 'video', 'amazing']","['big', 'amazing', 'thank', 'video']"
127,Excellent Videos! Thank you,Excellent Videos! Thank you,excellent videos thank you,"['excellent', 'video', 'thank']",Positive,Positive,POSITIVE,0.9998750686645508,['excellent videos thank'],"['excellent', 'videos']","['videos', 'excellent', 'thank']"
128,thank you well presented,thank you well presented,thank you well presented,"['thank', 'well', 'present']",Positive,Neutral,POSITIVE,0.9998513460159302,"['well presented', 'thank']",['presented'],['thank']
129,c) ensure fault tolerences  thanks for explaination,c) ensure fault tolerences  thanks for explaination,c ensure fault tolerences thanks for explaination,"['c', 'ensure', 'fault', 'tolerence', 'thank', 'explaination']",Positive,Positive,POSITIVE,0.8725511431694031,"['c ensure fault tolerences thanks', 'explaination']","['explaination', 'ensure', 'fault', 'tolerences']","['thanks', 'ensure', 'fault']"
130,For last quizI think C is the correct answer. 3X replica is for fault tolerance purpose.,For last quizI think C is the correct answer. 3X replica is for fault tolerance purpose.,for last quizi think c is the correct answer x replica is for fault tolerance purpose,"['last', 'quizi', 'think', 'c', 'correct', 'answer', 'x', 'replica', 'fault', 'tolerance', 'purpose']",Negative,Neutral,NEGATIVE,0.9968475699424744,"['last quizi think c', 'correct answer x replica', 'fault tolerance purpose']","['purpose', 'quizi', 'correct', 'answer', 'replica', 'fault', 'tolerance']","['replica', 'think', 'correct', 'answer', 'tolerance', 'fault']"
131,Thanks  a lot for this wonderful video...!!!!!,Thanks  a lot for this wonderful video...!!!!!,thanks a lot for this wonderful video,"['thank', 'lot', 'wonderful', 'video']",Positive,Positive,POSITIVE,0.9998661279678344,"['wonderful video', 'thanks', 'lot']","['video', 'lot', 'wonderful']","['wonderful', 'lot', 'thanks', 'video']"
132,The best video to explain hadoop in 5 min.,The best video to explain hadoop in 5 min.,the best video to explain hadoop in min,"['good', 'video', 'explain', 'hadoop', 'min']",Positive,Positive,POSITIVE,0.9994226694107056,"['explain hadoop', 'best video', 'min']","['min', 'video', 'explain', 'hadoop']","['min', 'best', 'hadoop', 'video']"
133,Amazing video. The advantage of the 3x replication schema in HDFS is fault torance.,Amazing video. The advantage of the 3x replication schema in HDFS is fault torance.,amazing video the advantage of the x replication schema in hdfs is fault torance,"['amazing', 'video', 'advantage', 'x', 'replication', 'schema', 'hdfs', 'fault', 'torance']",Positive,Positive,NEGATIVE,0.9150362014770508,"['x replication schema', 'fault torance', 'amazing video', 'hdfs', 'advantage']","['amazing', 'torance', 'video', 'advantage', 'replication', 'schema', 'hdfs', 'fault']","['advantage', 'schema', 'amazing', 'hdfs', 'replication', 'video', 'fault']"
134,great video!! the answer is c. I know the comment is too late but just commenting,great video!! the answer is c. I know the comment is too late but just commenting,great video the answer is c i know the comment is too late but just commenting,"['great', 'video', 'answer', 'c', 'know', 'comment', 'late', 'comment']",Positive,Positive,POSITIVE,0.9734567999839784,"['great video', 'late', 'know', 'commenting', 'comment', 'c', 'answer']","['great', 'commenting', 'video', 'answer', 'comment', 'late']","['know', 'late', 'just', 'great', 'video', 'answer']"
135,"Thanks for making this really easy to understand. Keep making such videos !!!
Answer: (c) Ensures fault tolerance.","Thanks for making this really easy to understand. Keep making such videos !!!
Answer: (c) Ensures fault tolerance.",thanks for making this really easy to understand keep making such videos answer: c ensures fault tolerance,"['thank', 'make', 'really', 'easy', 'understand', 'keep', 'make', 'video', 'answer', ':', 'c', 'ensure', 'fault', 'tolerance']",Positive,Negative,NEGATIVE,0.6421021819114685,"['c ensures fault tolerance', 'understand keep making', 'videos answer', 'really easy', 'making', 'thanks']","['answer', 'tolerance', 'making', 'easy', 'understand', 'videos', 'ensures', 'fault']","['videos', 'easy', 'really', 'understand', 'thanks', 'ensures', 'answer', 'tolerance', 'fault']"
136,super explaination 👍👍🌟,super explaination  thumbs_up  thumbs_up  glowing_star ,super explaination thumbs_up thumbs_up glowing_star,"['super', 'explaination', 'thumbs_up', 'thumbs_up', 'glowing_star']",Positive,Positive,POSITIVE,0.9985686540603638,['super explaination thumbs_up thumbs_up glowing_star'],"['star', 'thumbs', 'super', 'glowing', 'explaination']",['thumbs_up']
137,Thank you for this,Thank you for this,thank you for this,['thank'],Positive,Neutral,POSITIVE,0.999840259552002,['thank'],[],['thank']
138,I understand now. Hadoop is bigger than dBase III+. nice and simple video. have a nice day.,I understand now. Hadoop is bigger than dBase III+. nice and simple video. have a nice day.,i understand now hadoop is bigger than dbase iii nice and simple video have a nice day,"['understand', 'hadoop', 'big', 'dbase', 'iii', 'nice', 'simple', 'video', 'nice', 'day']",Positive,Positive,POSITIVE,0.9971516728401184,"['dbase iii nice', 'nice day', 'simple video', 'understand', 'hadoop', 'bigger']","['day', 'nice', 'understand', 'hadoop', 'bigger', 'dbase', 'iii', 'simple', 'video']","['nice', 'understand', 'hadoop', 'video']"
139,Great explanation,Great explanation,great explanation,"['great', 'explanation']",Positive,Positive,POSITIVE,0.9998475313186646,['great explanation'],"['great', 'explanation']","['great', 'explanation']"
140,"Hi,
Thanks for the video. 
The answer is C","Hi,
Thanks for the video. 
The answer is C",hi thanks for the video the answer is c,"['hi', 'thank', 'video', 'answer', 'c']",Positive,Positive,POSITIVE,0.99552321434021,"['hi thanks', 'video', 'c', 'answer']","['video', 'answer']","['thanks', 'video', 'answer']"
141,This is great. Thank you.,This is great. Thank you.,this is great thank you,"['great', 'thank']",Positive,Positive,POSITIVE,0.9998669624328612,['great thank'],['great'],"['great', 'thank']"
142,Bhai kya batau kya samjhaya hai. Chummi ekdum <3,Bhai kya batau kya samjhaya hai. Chummi ekdum <3,bhai kya batau kya samjhaya hai chummi ekdum,"['bhai', 'kya', 'batau', 'kya', 'samjhaya', 'hai', 'chummi', 'ekdum']",Neutral,Neutral,NEGATIVE,0.9057675004005432,['bhai kya batau kya samjhaya hai chummi ekdum'],"['bhai', 'ekdum', 'kya', 'batau', 'samjhaya', 'hai', 'chummi']",[]
143,"The answer is C, which ensures fault tolerance! really help me in my course Advanace Database management Science  topic Big data,hadoop version1 and version 2","The answer is C, which ensures fault tolerance! really help me in my course Advanace Database management Science  topic Big data,hadoop version1 and version 2",the answer is c which ensures fault tolerance really help me in my course advanace database management science topic big datahadoop version and version,"['answer', 'c', 'ensure', 'fault', 'tolerance', 'really', 'help', 'course', 'advanace', 'database', 'management', 'science', 'topic', 'big', 'datahadoop', 'version', 'version']",Positive,Positive,NEGATIVE,0.914275050163269,"['course advanace database management science topic big datahadoop version', 'ensures fault tolerance really help', 'version', 'c', 'answer']","['version', 'answer', 'ensures', 'fault', 'tolerance', 'advanace', 'database', 'management', 'science', 'topic']","['science', 'course', 'big', 'really', 'ensures', 'answer', 'tolerance', 'fault']"
144,Very good explanation...,Very good explanation...,very good explanation,"['good', 'explanation']",Positive,Positive,POSITIVE,0.9998564720153807,['good explanation'],"['explanation', 'good']","['good', 'explanation']"
145,Thank you so much for this awesome video.,Thank you so much for this awesome video.,thank you so much for this awesome video,"['thank', 'much', 'awesome', 'video']",Positive,Positive,POSITIVE,0.9998667240142822,"['awesome video', 'thank', 'much']","['video', 'awesome']","['awesome', 'thank', 'video']"
146,Loved the content,Loved the content,loved the content,"['love', 'content']",Positive,Positive,POSITIVE,0.9998743534088136,"['loved', 'content']","['loved', 'content']",['content']
147,Awesome video. Thanks,Awesome video. Thanks,awesome video thanks,"['awesome', 'video', 'thank']",Positive,Positive,POSITIVE,0.9998544454574584,['awesome video thanks'],"['awesome', 'video']","['awesome', 'thanks', 'video']"
148,Great explanation. Thank you.,Great explanation. Thank you.,great explanation thank you,"['great', 'explanation', 'thank']",Positive,Positive,POSITIVE,0.9998703002929688,['great explanation thank'],"['great', 'explanation']","['great', 'explanation', 'thank']"
149,Congratulations on the video!,Congratulations on the video!,congratulations on the video,"['congratulation', 'video']",Positive,Neutral,POSITIVE,0.9997586607933044,"['video', 'congratulations']","['congratulations', 'video']",['video']
150,GREAT CONTENT,GREAT CONTENT,great content,"['great', 'content']",Positive,Positive,POSITIVE,0.9998778104782104,['great content'],"['great', 'content']","['content', 'great']"
151,Thanks for sharing this video.,Thanks for sharing this video.,thanks for sharing this video,"['thank', 'share', 'video']",Positive,Positive,POSITIVE,0.999439775943756,"['video', 'thanks', 'sharing']","['video', 'sharing']","['thanks', 'video']"
152,Awesome explanation,Awesome explanation,awesome explanation,"['awesome', 'explanation']",Positive,Positive,POSITIVE,0.9998624324798584,['awesome explanation'],"['awesome', 'explanation']","['awesome', 'explanation']"
153,Nice explanation,Nice explanation,nice explanation,"['nice', 'explanation']",Positive,Positive,POSITIVE,0.9998189806938172,['nice explanation'],"['nice', 'explanation']","['nice', 'explanation']"
154,Fantastic video,Fantastic video,fantastic video,"['fantastic', 'video']",Positive,Positive,POSITIVE,0.999873161315918,['fantastic video'],"['fantastic', 'video']",['video']
155,"Amazing video 👏🏻 productive 6 min video ,, keep up the good work 😊","Amazing video  clapping_hands_light_skin_tone  productive 6 min video ,, keep up the good work  smiling_face_with_smiling_eyes ",amazing video clapping_hands_light_skin_tone productive min video keep up the good work smiling_face_with_smiling_eyes,"['amazing', 'video', 'clapping_hands_light_skin_tone', 'productive', 'min', 'video', 'keep', 'good', 'work', 'smiling_face_with_smiling_eyes']",Positive,Positive,POSITIVE,0.9998397827148438,"['amazing video clapping_hands_light_skin_tone productive min video keep', 'good work smiling_face_with_smiling_eyes']","['hands', 'light', 'skin', 'face', 'eyes', 'smiling', 'amazing', 'clapping', 'tone', 'video']","['video', 'productive', 'min', 'work', 'good', 'amazing']"
156,Very nice introduction,Very nice introduction,very nice introduction,"['nice', 'introduction']",Positive,Positive,POSITIVE,0.9998605251312256,['nice introduction'],"['introduction', 'nice']",['nice']
157,thank you so much !!,thank you so much !!,thank you so much,"['thank', 'much']",Positive,Positive,POSITIVE,0.9998414516448976,"['thank', 'much']",[],['thank']
158,Thank you!,Thank you!,thank you,['thank'],Positive,Neutral,POSITIVE,0.9998352527618408,['thank'],[],['thank']
159,amazing video sir,amazing video sir,amazing video sir,"['amazing', 'video', 'sir']",Positive,Positive,POSITIVE,0.9998750686645508,['amazing video sir'],"['amazing', 'sir', 'video']","['amazing', 'video']"
160,Great. The correct answer is C) Ensures fault tolerance,Great. The correct answer is C) Ensures fault tolerance,great the correct answer is c ensures fault tolerance,"['great', 'correct', 'answer', 'c', 'ensure', 'fault', 'tolerance']",Positive,Positive,POSITIVE,0.9929499626159668,"['c ensures fault tolerance', 'correct answer', 'great']","['great', 'tolerance', 'correct', 'answer', 'ensures', 'fault']","['correct', 'great', 'ensures', 'answer', 'tolerance', 'fault']"
161,Great! The answer is C.,Great! The answer is C.,great the answer is c,"['great', 'answer', 'c']",Positive,Positive,POSITIVE,0.9997003078460692,"['great', 'c', 'answer']","['great', 'answer']","['great', 'answer']"
162,very helpful video. thanks.,very helpful video. thanks.,very helpful video thanks,"['helpful', 'video', 'thank']",Positive,Positive,POSITIVE,0.9997935891151428,['helpful video thanks'],"['helpful', 'video']","['helpful', 'thanks', 'video']"
163,Cool Explanation,Cool Explanation,cool explanation,"['cool', 'explanation']",Positive,Positive,POSITIVE,0.9998414516448976,['cool explanation'],"['cool', 'explanation']",['explanation']
164,The advantage of 3x replication is to ensure fault tolerance in case of node crashing,The advantage of 3x replication is to ensure fault tolerance in case of node crashing,the advantage of x replication is to ensure fault tolerance in case of node crashing,"['advantage', 'x', 'replication', 'ensure', 'fault', 'tolerance', 'case', 'node', 'crash']",Positive,Neutral,NEGATIVE,0.5316829681396484,"['ensure fault tolerance', 'x replication', 'node crashing', 'case', 'advantage']","['crashing', 'advantage', 'replication', 'ensure', 'fault', 'tolerance', 'case', 'node']","['node', 'advantage', 'replication', 'ensure', 'tolerance', 'fault']"
165,Really nice video. The answer is C. Ensures Fault Tolerance.,Really nice video. The answer is C. Ensures Fault Tolerance.,really nice video the answer is c ensures fault tolerance,"['really', 'nice', 'video', 'answer', 'c', 'ensure', 'fault', 'tolerance']",Positive,Positive,POSITIVE,0.9860246777534484,"['c ensures fault tolerance', 'really nice video', 'answer']","['tolerance', 'nice', 'video', 'answer', 'ensures', 'fault']","['nice', 'really', 'video', 'ensures', 'answer', 'tolerance', 'fault']"
166,is for Fault Tolerance. tis vid is great.,is for Fault Tolerance. tis vid is great.,is for fault tolerance tis vid is great,"['fault', 'tolerance', 'tis', 'vid', 'great']",Positive,Positive,NEGATIVE,0.938549816608429,"['fault tolerance tis vid', 'great']","['great', 'fault', 'tolerance', 'tis', 'vid']","['great', 'tolerance', 'fault']"
167,Wonderful video..,Wonderful video..,wonderful video,"['wonderful', 'video']",Positive,Positive,POSITIVE,0.9998754262924194,['wonderful video'],"['wonderful', 'video']","['wonderful', 'video']"
168,Thanks! Clear,Thanks! Clear,thanks clear,"['thank', 'clear']",Positive,Positive,POSITIVE,0.9998314380645752,['thanks clear'],['clear'],"['clear', 'thanks']"
169,Extraordinary!,Extraordinary!,extraordinary,['extraordinary'],Neutral,Positive,POSITIVE,0.999874472618103,['extraordinary'],['extraordinary'],[]
170,"Answer: c) fault tolerance 
Great video👍🏿👍🏿👍🏿","Answer: c) fault tolerance 
Great video thumbs_up_dark_skin_tone  thumbs_up_dark_skin_tone  thumbs_up_dark_skin_tone ",answer: c fault tolerance great video thumbs_up_dark_skin_tone thumbs_up_dark_skin_tone thumbs_up_dark_skin_tone,"['answer', ':', 'c', 'fault', 'tolerance', 'great', 'video', 'thumbs_up_dark_skin_tone', 'thumbs_up_dark_skin_tone', 'thumbs_up_dark_skin_tone']",Positive,Positive,NEGATIVE,0.9905937910079956,"['c fault tolerance great video thumbs_up_dark_skin_tone thumbs_up_dark_skin_tone thumbs_up_dark_skin_tone', 'answer']","['dark', 'skin', 'tone', 'thumbs', 'answer', 'fault', 'tolerance', 'great', 'video']","['great', 'video', 'answer', 'tolerance', 'fault']"
171,"thanks for the explanation.
the answer to the question is c - ensures fault tolerance","thanks for the explanation.
the answer to the question is c - ensures fault tolerance",thanks for the explanation the answer to the question is c ensures fault tolerance,"['thank', 'explanation', 'answer', 'question', 'c', 'ensure', 'fault', 'tolerance']",Positive,Positive,POSITIVE,0.9784537553787231,"['c ensures fault tolerance', 'thanks', 'question', 'explanation', 'answer']","['tolerance', 'explanation', 'answer', 'question', 'ensures', 'fault']","['question', 'explanation', 'thanks', 'ensures', 'answer', 'tolerance', 'fault']"
172,Nice presentation.. Thank you..,Nice presentation.. Thank you..,nice presentation thank you,"['nice', 'presentation', 'thank']",Positive,Positive,POSITIVE,0.9998656511306764,['nice presentation thank'],"['nice', 'presentation']","['nice', 'thank']"
173,Nice explanation.. The answer is C - Ensure fault tollerens,Nice explanation.. The answer is C - Ensure fault tollerens,nice explanation the answer is c ensure fault tollerens,"['nice', 'explanation', 'answer', 'c', 'ensure', 'fault', 'tolleren']",Positive,Positive,NEGATIVE,0.9745436906814576,"['c ensure fault tollerens', 'nice explanation', 'answer']","['nice', 'tollerens', 'explanation', 'answer', 'ensure', 'fault']","['nice', 'explanation', 'ensure', 'answer', 'fault']"
174,Thanks mate.,Thanks mate.,thanks mate,"['thank', 'mate']",Positive,Positive,POSITIVE,0.9997724890708924,['thanks mate'],['mate'],['thanks']
